Cavity,ηC,ηCA,η,ηCl,Tʰ,Tᶜ,TʰCl,TᶜCl
A,0.696,0.449,0.236,0.601,3.952,1.2,3.187,1.271
B,0.63,0.392,0.262,0.529,3.299,1.22,2.748,1.294
