Cavity,ηC,ηCA,η,ηCl,Tʰ,Tᶜ,TʰCl,TᶜCl
A,0.641,0.401,0.222,0.524,3.901,1.402,3.154,1.5
B,0.505,0.296,0.241,0.37,3.024,1.497,2.555,1.609
