Cavity,ηC,ηCA,η,ηCl,Tʰ,Tᶜ,TʰCl,TᶜCl
A,0.5,0.293,0.242,0.328,3.0,1.5,2.538,1.706
B,0.5,0.293,0.242,0.328,3.0,1.5,2.538,1.706
